Age,EstimatedSalary
19,19000
35,20000
26,43000
27,57000
19,76000
27,58000
27,84000
32,150000
25,33000
35,65000
26,80000
26,52000
20,86000
32,18000
18,82000
29,80000
47,25000
45,26000
46,28000
48,29000
45,22000
47,49000
48,41000
45,22000
46,23000
47,20000
49,28000
47,30000
29,43000
31,18000
31,74000
27,137000
21,16000
28,44000
27,90000
35,27000
33,28000
30,49000
26,72000
27,31000
27,17000
33,51000
35,108000
30,15000
28,84000
23,20000
25,79000
27,54000
30,135000
31,89000
24,32000
18,44000
29,83000
35,23000
27,58000
24,55000
23,48000
28,79000
22,18000
32,117000
27,20000
25,87000
23,66000
32,120000
59,83000
24,58000
24,19000
23,82000
22,63000
31,68000
25,80000
24,27000
20,23000
33,113000
32,18000
34,112000
18,52000
22,27000
28,87000
26,17000
30,80000
39,42000
20,49000
35,88000
30,62000
31,118000
24,55000
28,85000
26,81000
35,50000
22,81000
30,116000
26,15000
29,28000
29,83000
35,44000
35,25000
28,123000
35,73000
28,37000
27,88000
28,59000
32,86000
33,149000
19,21000
21,72000
26,35000
27,89000
26,86000
38,80000
39,71000
37,71000
38,61000
37,55000
42,80000
40,57000
35,75000
36,52000
40,59000
41,59000
36,75000
37,72000
40,75000
35,53000
41,51000
39,61000
42,65000
26,32000
30,17000
26,84000
31,58000
33,31000
30,87000
21,68000
28,55000
23,63000
20,82000
30,107000
28,59000
19,25000
19,85000
18,68000
35,59000
30,89000
34,2500
51,23000
50,20000
36,33000
49,36000
